timestamp, index, utilization.gpu [%], memory.used [MiB]
2025/10/01 00:49:13.570, 1, 0 %, 1 MiB
2025/10/01 00:49:43.571, 0, 0 %, 1 MiB
2025/10/01 00:49:43.571, 1, 0 %, 1 MiB
2025/10/01 00:50:13.572, 0, 0 %, 1 MiB
2025/10/01 00:50:13.572, 1, 0 %, 1 MiB
2025/10/01 00:50:43.573, 0, 0 %, 1 MiB
2025/10/01 00:50:43.573, 1, 0 %, 1 MiB
2025/10/01 00:51:13.573, 0, 0 %, 1 MiB
2025/10/01 00:51:13.574, 1, 0 %, 1 MiB
2025/10/01 00:51:43.574, 0, 0 %, 1 MiB
2025/10/01 00:51:43.574, 1, 0 %, 1 MiB
2025/10/01 00:52:13.575, 0, 0 %, 1 MiB
2025/10/01 00:52:13.575, 1, 0 %, 1 MiB
2025/10/01 00:52:43.576, 0, 0 %, 1 MiB
2025/10/01 00:52:43.576, 1, 0 %, 1 MiB
2025/10/01 00:53:13.577, 0, 0 %, 1 MiB
2025/10/01 00:53:13.577, 1, 0 %, 1 MiB
2025/10/01 00:53:43.578, 0, 0 %, 1 MiB
2025/10/01 00:53:43.578, 1, 0 %, 1 MiB
2025/10/01 00:54:13.579, 0, 0 %, 1 MiB
2025/10/01 00:54:13.579, 1, 0 %, 1 MiB
2025/10/01 00:54:43.580, 0, 0 %, 1 MiB
2025/10/01 00:54:43.580, 1, 0 %, 1 MiB
2025/10/01 00:55:13.580, 0, 0 %, 1 MiB
2025/10/01 00:55:13.581, 1, 0 %, 1 MiB
2025/10/01 00:55:43.582, 0, 0 %, 1 MiB
2025/10/01 00:55:43.582, 1, 0 %, 1 MiB
2025/10/01 00:56:13.583, 0, 0 %, 1 MiB
2025/10/01 00:56:13.583, 1, 0 %, 1 MiB
2025/10/01 00:56:43.583, 0, 0 %, 1 MiB
2025/10/01 00:56:43.584, 1, 0 %, 1 MiB
2025/10/01 00:57:13.584, 0, 0 %, 1 MiB
2025/10/01 00:57:13.585, 1, 0 %, 1 MiB
2025/10/01 00:57:43.586, 0, 0 %, 1 MiB
2025/10/01 00:57:43.586, 1, 0 %, 1 MiB
2025/10/01 00:58:13.587, 0, 0 %, 1 MiB
2025/10/01 00:58:13.587, 1, 0 %, 1 MiB
2025/10/01 00:58:43.588, 0, 0 %, 1 MiB
2025/10/01 00:58:43.588, 1, 0 %, 1 MiB
2025/10/01 00:59:13.589, 0, 0 %, 1 MiB
2025/10/01 00:59:13.589, 1, 0 %, 1 MiB
2025/10/01 00:59:43.591, 0, 0 %, 1 MiB
2025/10/01 00:59:43.591, 1, 0 %, 1 MiB
2025/10/01 01:00:13.592, 0, 0 %, 1 MiB
2025/10/01 01:00:13.592, 1, 0 %, 1 MiB
2025/10/01 01:00:43.593, 0, 0 %, 1 MiB
2025/10/01 01:00:43.593, 1, 0 %, 1 MiB
2025/10/01 01:01:13.594, 0, 0 %, 1 MiB
2025/10/01 01:01:13.594, 1, 0 %, 1 MiB
2025/10/01 01:01:43.594, 0, 0 %, 1 MiB
2025/10/01 01:01:43.594, 1, 0 %, 1 MiB
2025/10/01 01:02:13.595, 0, 0 %, 1 MiB
2025/10/01 01:02:13.595, 1, 0 %, 1 MiB
2025/10/01 01:02:43.596, 0, 0 %, 1 MiB
2025/10/01 01:02:43.596, 1, 0 %, 1 MiB
2025/10/01 01:03:13.597, 0, 0 %, 1 MiB
2025/10/01 01:03:13.597, 1, 0 %, 1 MiB
2025/10/01 01:03:43.598, 0, 0 %, 1 MiB
2025/10/01 01:03:43.598, 1, 0 %, 1 MiB
2025/10/01 01:04:13.599, 0, 0 %, 1 MiB
2025/10/01 01:04:13.599, 1, 0 %, 1 MiB
2025/10/01 01:04:43.599, 0, 0 %, 1 MiB
2025/10/01 01:04:43.600, 1, 0 %, 1 MiB
2025/10/01 01:05:13.600, 0, 0 %, 1 MiB
